Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-09 11:47:43.558555,28.75,74.65,955.0
2024-07-09 11:47:44.560061,28.8,76.19,955.03
2024-07-09 11:47:45.565203,28.67,75.66,955.03
2024-07-09 11:47:46.564812,28.48,71.06,955.03
2024-07-09 11:47:47.568691,28.44,67.15,954.99
2024-07-09 11:47:48.574417,28.57,70.74,955.02
2024-07-09 11:47:49.572493,28.57,73.08,954.99
2024-07-09 11:47:50.577691,28.59,73.74,955.0
2024-07-09 11:47:51.578320,28.7,74.81,955.01
2024-07-09 11:47:52.578249,28.75,75.42,954.99
2024-07-09 11:47:53.581550,28.81,75.83,955.01
2024-07-09 11:47:54.590400,28.86,76.19,955.04
2024-07-09 11:47:55.582056,28.86,76.21,955.0
2024-07-09 11:47:56.589324,28.81,75.46,955.04
2024-07-09 11:47:57.591488,28.8,75.22,955.02
2024-07-09 11:47:58.599385,28.88,76.24,955.04
2024-07-09 11:47:59.598558,29.0,77.04,954.99
2024-07-09 11:48:00.599526,28.71,72.59,955.02
2024-07-09 11:48:01.604051,28.65,69.95,954.99
2024-07-09 11:48:02.600981,28.73,72.62,954.99
2024-07-09 11:48:03.604242,28.82,75.02,955.02
2024-07-09 11:48:04.613373,28.95,76.37,954.96
2024-07-09 11:48:05.614162,29.26,77.49,954.96
2024-07-09 11:48:06.616336,29.35,77.86,955.0
2024-07-09 11:48:07.612513,29.37,77.95,954.99
2024-07-09 11:48:09.624080,29.56,78.51,954.97
2024-07-09 11:48:10.628171,29.13,76.04,955.0
2024-07-09 11:48:11.626459,29.39,77.87,955.03
2024-07-09 11:48:12.633188,29.49,78.69,955.01
2024-07-09 11:48:13.631691,29.45,78.39,955.01
2024-07-09 11:48:14.637130,28.88,74.15,955.04
2024-07-09 11:48:15.635567,28.9,74.67,954.99
2024-07-09 11:48:16.643345,29.03,77.27,955.02
2024-07-09 11:48:17.635182,28.82,75.64,955.06
2024-07-09 11:48:18.647553,28.68,72.41,955.04
2024-07-09 11:48:19.648168,28.85,75.73,955.0
2024-07-09 11:48:20.650242,28.85,76.9,955.04
2024-07-09 11:48:21.652004,28.65,74.12,955.04
2024-07-09 11:48:22.654240,28.56,70.07,955.03
2024-07-09 11:48:23.656204,28.5,67.04,955.02
2024-07-09 11:48:24.660158,28.62,71.53,954.97
2024-07-09 11:48:25.659249,28.81,75.15,955.03
2024-07-09 11:48:26.661210,28.64,75.53,955.05
